Timestamp,Kelompok_Usia,Jenis_Pekerjaan,Pernah_Pakai_QRIS,Alasan_Menggunakan,Metode_pembayaran,Tingkat_Efisiensi_QRIS,Kendala_Qris,Metode_Bayar_PBB,Saran_Meningkatkan_Adopsi_QRIS
2025/03/10 7:57:26 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,3,jaringan-kurang-stabil,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Dengan membiasakannya bertransaksi dengan Qris dan memberi edukasi seberapa mudahnya dan praktisnya jika menggunakan Qris
2025/03/10 7:57:26 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Melalui-QRIS-atau-virtual-account,Melakukan edukasi dan sosialisasi yang menjelaskan manfaat dan cara menggunakan QRIS
2025/03/10 7:57:43 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,"Pendapat saya, pentingnya edukasi kepada merchant, terutama umkm akan sangat membantu meningkatkan jumlah pengguna pembayaran digital. Karena kebanyakan merchant atau umkm tidak memiliki pemahaman yang kuat dan mendasar terkait penggunaan pembayaran digital."
2025/03/10 7:57:49 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,3,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,Memperbanyak sektor yang menggunakan metode pembayaran cashless
2025/03/10 7:58:27 am GMT+7,Generasi Y,Pegawai-Swasta,Ya,Praktis-Cepat,Tunai,4,Tidak-semua-terima-QRIS,"Melalui-minimarket-atau-kantor-pos-(Indomaret,-Alfamart,-Kantor-Pos)",Perlu  lebih banyak outlet/pedagang yang menyediakan pembayaran melalui QRIS
2025/03/10 7:58:43 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,harus mempunyai mbanking dan edukasi terutama ke orang tua tentang cara penggunaannya
2025/03/10 7:58:45 am GMT+7,Generasi X,IRT,Tidak,Tidak-ada-e-wallet,Tunai,2,Khawatir-keamanan,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,"Dengan cara sosialisasi dan praktek tentang penggunaan qris atau pembayaran digital , tentunya dengan penyampaian yang mudah di pahami di kalangan ibu ibu"
2025/03/10 7:59:09 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,menggunakan iklan di sosial media agar dapat menjangkau banyak orang
2025/03/10 7:59:14 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,di terapkannya di setiap tempat memiliki QRIS dan mendedikasi masyarakat untuk melakukan transaksi dengan mudah dan cepat dengan QRIS
2025/03/10 7:59:27 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,"Mengedukasi tentang kemudahan dan keamanannya harus ditingkatkan, dan insentif seperti cashback atau diskon juga bisa menarik minat pengguna baru untuk mencoba memakai QRIS"
2025/03/10 7:59:49 am GMT+7,Generasi Z,Wirausaha/UMKM,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)",Perlunya edukasi dan sosialisasi ke masyarakat
2025/03/10 8:01:10 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"Edukasi mengenai kemudahan, keamanan yang lebih luas terutama pada generasi yang sudah lebih tua mengenai penggunaan QRIS (di beberapa kasus yang saya tau mereka mempunyai virtual bank namun tidak tau cara menggunakan qris)"
2025/03/10 8:01:27 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,qris
2025/03/10 8:02:00 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)","Meningkatkan jumlah merchant, memberikan pendampingan kepada merchant yang membutuhkan serta harus adanya koneksi yang stabil agar QRIS dapat digunakan dengan baik"
2025/03/10 8:02:03 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,"dengan memberikan edukasi bahwa pembayaran melalui qris sangat membantu jika pribadi tidak memiliki cash dan jg menjelaskan kelebihan"" menggunakan qris"
2025/03/10 8:02:15 am GMT+7,Generasi Y,Pegawai-Swasta,Ya,Other,Tunai,4,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Semakin banyak tempat usaha yang mulai menyediakan qris untuk metode pembayaran
2025/03/10 8:02:16 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"Dengan era digital sekarang, banyak orang yang uda cashless jadi dengan lebih menyadari dan mengikuti zaman orang orang akan menggunakan qris untuk kepentingan"
2025/03/10 8:02:18 am GMT+7,Generasi Z,Pegawai-Swasta,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)","di tempat pembelian, penjual diarahkan untuk melakukan pembayaran secara cashless"
2025/03/10 8:02:24 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Melalui-QRIS-atau-virtual-account,melakukan edukasi melalui sosmed ataupun offline
2025/03/10 8:02:40 am GMT+7,Generasi Z,IRT,Ya,Praktis-Cepat,Tunai,4,jaringan-kurang-stabil,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,setiap penduduk di kasih hp buat qris
2025/03/10 8:02:43 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,Dengan cara edukasi kepada mahasiswa atau pun masyarakat tentang bagaimana mudah dan praktis nya qris sebagai model transaksi yang baru. Tentunya tidak hanya memberikan kelebihan tapi juga tantangan kedepannya agar mahasiswa tetap waspada terhadap data pribadi nya.
2025/03/10 8:02:44 am GMT+7,Generasi X,Wirausaha/UMKM,Tidak,Tidak-ada-e-wallet,Tunai,3,Khawatir-keamanan,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,"Kalau mau lebih banyak yang pakai QRIS, ya harus dibuat lebih gampang dan menguntungkan. Banyak orang seusia saya masih lebih nyaman pakai tunai karena sudah kebiasaan, dan kadang ribet kalau harus install aplikasi atau top-up saldo dulu. Kalau ada promo menarik atau diskon khusus buat pengguna QRIS, mungkin saya bakal coba. Selain itu, pastikan semua toko terutama yang kecil bisa nerima QRIS tanpa biaya tambahan, biar makin banyak yang mau pakai."
2025/03/10 8:02:57 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"berdasarkan pengalaman saya, mungkin lebih di tingkatkan lagi edukasi serta sosialisasi terkait QRIS atau pembayaran digital, karena ada banyak orang yang masih awam akan hal tersebut"
2025/03/10 8:03:18 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Melalui-QRIS-atau-virtual-account,dengan mengurangi biaya admin dan memberi promo khusus untuk pembayaran QRIS
2025/03/10 8:04:19 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,3,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,"dengan meningkatkan edukasi dan sosialisasi mengenai kelebihan dan kemudahan penggunaan QRIS, sehingga masyarakat merasa lebih percaya dan nyaman dalam bertransaksi secara digital"
2025/03/10 8:04:34 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Melalui-QRIS-atau-virtual-account,"Untuk mendorong penggunaan QRIS, Anda bisa menawarkan program promosi, seperti cashback, diskon, dan reward. Anda juga bisa mempromosikan QRIS di toko fisik dan online store. 
"
2025/03/10 8:04:36 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Khawatir-keamanan,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)",Mensosialisasikan dan tidak memungut pajak penggunaan qris.
2025/03/10 8:04:37 am GMT+7,Generasi Y,Pegawai-Swasta,Ya,Praktis-Cepat,Tunai,3,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,"Sebenernya QRIS itu praktis, tapi saya masih sering pakai tunai atau kartu karena nggak semua tempat nerima QRIS, apalagi kalau sinyal jelek. Kadang juga ada biaya tambahan atau minimal transaksi, jadi agak ribet. Tapi kalau tempatnya udah cashless semua atau ada promo cashback, saya pasti lebih milih QRIS karena lebih simpel dan cepat.

"
2025/03/10 8:04:39 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,4,jaringan-kurang-stabil,Melalui-aplikasi-atau-website-resmi-pemerintah-daerah,Edukasi terhadap orang orang akan mudahnya dan manfaatnya menggunakan qris
2025/03/10 8:04:44 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,-
2025/03/10 8:04:47 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"Menurut saya langkah awalnya adalah semua toko harus menyediakan metode pembayaran qris, karena saat ini belum semua toko menerapkan metode ini, apabila sudah diterapkan disemua toko pasti konsumen akan pindah dari pengguna tunai menjadi pengguna qris."
2025/03/10 8:04:49 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,"Melalui-minimarket-atau-kantor-pos-(Indomaret,-Alfamart,-Kantor-Pos)",edukasi atau pemberitahuan penggunaannya
2025/03/10 8:05:17 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Edukasi masyarakat tentang qris dan permudah UMKM dalam pendaftaran penggunaan
2025/03/10 8:06:05 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"Mungkin bisa dengan mengajak pelaku usaha untuk menggunakan QRIS di tempat usaha mereka, dan melakukan sosialisasi ke masyarakat umum tentang kemudahan penggunaan QRIS"
2025/03/10 8:06:19 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,4,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,diberikan edukasi kepada masyarakat mengenai QRIS serta di perluas lagi tempat-tempat yang melayani penggunaan QRIS
2025/03/10 8:06:21 am GMT+7,Generasi Z,Pegawai-Swasta,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,"Sekarang era digital, kebanyakan sdh memakai qris"
2025/03/10 8:06:55 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,Sosialisasi dan Edukasi
2025/03/10 8:07:14 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,4,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Memberikan informasi dengan iklan yang mudah dimengerti bagi semua kalangan generasi
2025/03/10 8:07:15 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,melakukan sosialisasi edukasi
2025/03/10 8:07:33 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,dengan melakukan edukasi terkait kelebihan qris
2025/03/10 8:08:10 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)","cara nya dengan mengsosialisasikan penggunaan Qris karena rata"" yang menggunakan hanya anak muda dan orang tua jarang yang mengerti caranya"
2025/03/10 8:08:45 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,Biaya admin dikurangi
2025/03/10 8:09:27 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,lebih banyak edukasi atau webinar mengenai kemudahan menggunakan qris cepat aman dan praktis agar setiap individu lebih mengenal qris
2025/03/10 8:09:37 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"dengan mengedukasi cara penggunaan qris, dan mengedukasi ke penjual untuk cara penyediaan qris"
2025/03/10 8:09:48 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)",dengan meningkatkan pengetahuan kepada penjual terlebih penjual kaki lima
2025/03/10 8:10:12 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,3,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",masyarakat harus melek terhadap teknologi agar lebih paham nenggunakan pembayaran digital
2025/03/10 8:10:21 am GMT+7,Generasi Y,Other,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)",Melakukan Sosialisasi tempat baru agar mengetahui & mengenal pembayaran digital
2025/03/10 8:10:23 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"dengan memperluas penggunaan qris di berbagai sektor, contohnya di toko-toko keci atau tranportasi umum"
2025/03/10 8:10:41 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,Lebih banyak edukasi lagi terkait penggunaan qris
2025/03/10 8:10:41 am GMT+7,Generasi Y,Pegawai-Swasta,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)","Perlu edukasi dan sosialisasi yang masif tentang kemudahan dan keamanannya, terutama bagi UMKM dan masyarakat awam. Bisa juga memberikan insentif seperti cashback, diskon, dan bebas biaya admin."
2025/03/10 8:11:23 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Other,4,Kurang-edukasi,"Melalui-minimarket-atau-kantor-pos-(Indomaret,-Alfamart,-Kantor-Pos)","Dari memperkenalkan ke masyarakat, dan pemberlakuan secara langsung penggunaan mobile banking maupun e-wallet supaya dapat digunakannya QRIS"
2025/03/10 8:11:41 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"Mungkin di setiap tempat pembelanjaan dapat menyediakan qris dan misalnya sudah tidak menerima tunia lagi, sehingga cukup untuk bisa agar setiap orang dapat menggunakan qris"
2025/03/10 8:12:57 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Transfer-bank,3,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,memberi edukasi dan informasi
2025/03/10 8:13:48 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"Mensosialisasikan kemudahan penggunaan QRIS, cara mengatasi kendalanya, dan potensi keuntungan yang didapat. Serta memfasilitasi merchant"
2025/03/10 8:14:01 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,"menurut saya masih banyak umkm diluar sana yang belum menyediakan qris karena kurangnya informasi, maka cara yang efektif adalah memberikan ke umkm umkm agar mereka bisa diajak digitalisasi bersama sama"
2025/03/10 8:14:06 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Tunai,4,jaringan-kurang-stabil,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Memberikan informasi  kemudahan penggunaan QR
2025/03/10 8:14:58 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,Sosialisasi kepada masyarakat yang belum mengenal pembayaran digital
2025/03/10 8:15:05 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",penyuluhan
2025/03/10 8:18:03 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Kurang-edukasi,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)",Dengan meningkatkan sosialisasi dan edukasi mengenai keuntungan menggunakan QRIS dalam suatu usaha.
2025/03/10 8:21:58 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,"Diperlukannya promosi dan edukasi di kalangan masyarakat mengenai manfaat dan keuntungan menggunakan QRIS atau pembayaran digital. Pembayaran digital seperti QRIS membuat pembayaran lebih mudah dan praktis. Pembayaran lebih cepat, tanpa perlu membawa uang tunai."
2025/03/10 8:22:04 am GMT+7,Generasi Z,Other,Ya,Other,Other,3,Other,Melalui-aplikasi-atau-website-resmi-pemerintah-daerah,di sosialisasikan ke khalayak umum dan jangan adakan biaya admin agar para pedagang terasa nyaman jika menghadirkan opsi pembayaran melalui QRIS selain itu buatkan device seperti gopay yang bisa memunculkan suara ketika transaksi berhasil sehingga presentase penipuan rendah. namun saya harap dengan adanya QRIS ini uang kertas ataupun uang logam tidak ditarik ataupun dikurangi peredarannya namun kalau bisa ditingkatkan kualitasnya agar tidak mudah rusak masa iya uang bisa dengan mudah robek termakan usia disini pihak konsumen juga merasakan kerugian. dan saya harap Indonesia juga sudah mulai aware terkait bitcoin ataupun crypto yang digadang gadang sebagai mata uang dimasa depan. mungkin itu saja dari saya semoga kita semua dalam lindungan Tuhan YME dan ibadah yang kita jalani diterima di sisi-Nya terimakasih wassalamualaikum warahmatullahi wabarakatuh
2025/03/10 8:23:28 am GMT+7,Generasi Z,Mahasiswa,Ya,Masalah-teknis,QRIS,3,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,"Mulai dengan menyediakan QRIS bahkan di toko-toko kecil sehingga masyarakat sekitar bisa 'aware' dengan pembayaran digital yg bisa meningkatkan efisiensi. Ketika mereka merasa termudahkan, maka kemungkinan besar mereka akan beralih ke pembayaran digital."
2025/03/10 8:24:40 am GMT+7,Generasi Z,Informal,Ya,Praktis-Cepat,Tunai,4,Tidak-semua-terima-QRIS,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)","Tidak ada,karena tunai lebih mudah dilakukan terutama untuk orang tua yang jarang menggunakan hp"
2025/03/10 8:25:04 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,"pedagang pedagang kaki lima sebaiknya diberikan pelatihan oleh pemkot untuk dapat menyediakan pembayaran melalui qris, karena banyak mahasiswa atau anak muda yang cashless dan mereka hanya mengandalkan qris sebagai transaksi keuangan sehari hari"
2025/03/10 8:26:26 am GMT+7,Generasi Y,Pegawai-Swasta,Ya,Praktis-Cepat,Transfer-bank,4,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)","Beberapa merchant/toko/penjual ada yang menambahkan biaya tambahan itu mungkin salah satu yang membuat orang enggan menggunakan QRIS dan bagi penerima dana juga tidak langsung menerima dana dari hasil transaksi, harus menunggu 1x24 jam itu mungkin jadi alasan orang enggan membuat QRIS untuk tokonya."
2025/03/10 8:28:11 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Melalui-aplikasi-atau-website-resmi-pemerintah-daerah,penjual menerima pembayaran secara Q-ris atau pembayararan digital terutama umkm di kota kota kecil atau pedesaan
2025/03/10 8:28:23 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Khawatir-keamanan,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Targetkan berbagai lapisan masyarakat. Cashback dan diskon. Promo khusus pedagang. Perluas jaringan. Mudahkan akses. Tingkatkan keamanan. Perlindungan konsumen dan kolaborasi dengan Berbagai Pihak
2025/03/10 8:28:50 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Adanya edukasi yang lebih disebarluaskan dan memperbanyak tempat-tempat yang menyediakan pembayaran Qris
2025/03/10 8:29:28 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)",Penggunaan QRIS sebenarnya membutuhkan alat tambahan berupa mobile phone untuk bisa mengakses bank digital kita atau dompet digital. Jika ingin lebih banyak orang menggunakan QRIS maka semua orang harus setidaknya memiliki mobile phone yang berisi bank digital atau dompet digital.
2025/03/10 8:29:51 am GMT+7,Generasi Z,Mahasiswa,Ya,Masalah-teknis,Tunai,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,Edukasi
2025/03/10 8:30:33 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,perbanyak digitalisasi di tempat tempat penjualan
2025/03/10 8:32:21 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,Khawatir-keamanan,Saya-belum-pernah-membayar-pajak-daerah,Edukasi dan Jaminan keamanan yang lebih baik
2025/03/10 8:34:09 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,Hal itu bisa kita lakukan dengan cara mengsosialisasikan tentang penggunaan QRIS yang lebih praktis dan cepat
